,artist_uri,genres,popularity,followers
0,spotify:artist:25CQYerNOaucOLHuEuvC9P,['cumbia villera'],45,68434
1,spotify:artist:2FS22haX3FYbyOsUAkuYqZ,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",67,2633939
2,spotify:artist:25CQYerNOaucOLHuEuvC9P,['cumbia villera'],45,68434
3,spotify:artist:0mdD8YXAyJDJ2BHxIKF0Yf,"['argentine rock', 'folclore santiagueno', 'folklore argentino', 'rock en espanol', 'rock nacional']",51,169413
4,spotify:artist:4oha1qZP28nRUeG6IASeV0,['folklore argentino'],25,5212
5,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,"['argentine rock', 'folclore salteno', 'folklore argentino']",56,514292
6,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,"['argentine rock', 'folclore salteno', 'folklore argentino']",56,514292
7,spotify:artist:46beGPwcX2QEZcmuvrMqp4,"['orquesta tipica', 'tango', 'vintage tango']",40,38305
8,spotify:artist:2HO9rAU2R7CRnmhx0ytN41,"['latin classical', 'tango', 'vintage tango']",39,48255
9,spotify:artist:46beGPwcX2QEZcmuvrMqp4,"['orquesta tipica', 'tango', 'vintage tango']",40,38305
10,spotify:artist:46beGPwcX2QEZcmuvrMqp4,"['orquesta tipica', 'tango', 'vintage tango']",40,38305
11,spotify:artist:1Mt6JeVWV9Tvgk8ercp5O9,"['argentine rock', 'cantautor', 'rock en espanol', 'rock nacional', 'trova']",47,112348
12,spotify:artist:793ACUr9nbTLP7KZUddXzU,"['chamame', 'folclore tucumano', 'folklore argentino', 'zamba']",37,67236
13,spotify:artist:0PEtkVtJ4LN3JrC8EkM6lC,"['chamame', 'folklore argentino']",35,12335
14,spotify:artist:6qYd7xlmeeeDkPfx6mZ9PV,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",51,184109
15,spotify:artist:1poWksyUHxANlcdBLPhsV9,['cumbia villera'],56,353976
16,spotify:artist:30fEdZPXgWfC4sNttcyB3C,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",62,1334832
17,spotify:artist:5DeRKZrVXp7WP1Y440UwLc,[],30,999
18,spotify:artist:1GlOpg3dPUft550esb82K3,"['cumbia villera', 'folclore salteno', 'folklore argentino']",58,449690
19,spotify:artist:0G7A5LzQAs2egiQl7hO5tV,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",59,257766
20,spotify:artist:0G7A5LzQAs2egiQl7hO5tV,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",59,257766
21,spotify:artist:0iutktJLkNNtErs8c3EoF6,"['cumbia andina mexicana', 'folclore jujeno', 'folklore argentino']",48,242415
22,spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6,"['latin pop', 'modern salsa', 'salsa', 'tropical']",77,8005189
23,spotify:artist:40FzPNKgu0k9VMvvidiKCl,"['dominican pop', 'merengue', 'tropical']",51,249692
24,spotify:artist:2WrKqjMRKr5MitNYaNgvl3,"['latin pop', 'rumba', 'spanish pop', 'spanish pop rock']",49,221887
25,spotify:artist:07S2B15CcvWG4jyfMhqx8X,"['argentine rock', 'cantautor', 'musica andina chilena', 'nueva cancion', 'rock nacional', 'trova']",50,142122
26,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",60,327944
27,spotify:artist:07S2B15CcvWG4jyfMhqx8X,"['argentine rock', 'cantautor', 'musica andina chilena', 'nueva cancion', 'rock nacional', 'trova']",50,142122
28,spotify:artist:7MiDcPa6UiV3In7lIM71IN,"['arrocha', 'sertanejo', 'sertanejo universitario']",82,17428026
29,spotify:artist:08iTfBYGAG8Llyx6SkrY6F,[],36,9416
30,spotify:artist:08iTfBYGAG8Llyx6SkrY6F,[],36,9416
31,spotify:artist:6ZS2jERHjAaze5E4sDiz2V,['cumbia boliviana'],29,4258
32,spotify:artist:3jc496ljiyrS3ECrD7QiqL,"['flamenco', 'rumba', 'world']",66,713503
33,spotify:artist:793ACUr9nbTLP7KZUddXzU,"['chamame', 'folclore tucumano', 'folklore argentino', 'zamba']",37,67236
34,spotify:artist:62B2sz2W3zAcqGnlQtYTaO,[],43,13011
35,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,"['classic country pop', 'country', 'country dawn']",71,1922876
36,spotify:artist:0adliEy50Ij86IB3rXlR1m,[],33,1354
37,spotify:artist:0adliEy50Ij86IB3rXlR1m,[],33,1354
38,spotify:artist:7Ead768rc4ShGxnqtqccU5,['operatic pop'],57,392242
39,spotify:artist:4aP1lp10BRYZO658B2NwkG,"['broadway', 'show tunes', 'west end']",63,257107
40,spotify:artist:2tm5E77HtK7hjzlrR2rMm7,[],19,1350
41,spotify:artist:1BdR9pJcDNxxsbtzJSy3F4,[],18,121
42,spotify:artist:7EzZtsaDuv0EecScnO7wrh,['show tunes'],38,11151
43,spotify:artist:7EzZtsaDuv0EecScnO7wrh,['show tunes'],38,11151
44,spotify:artist:68h2f0WXn4zEctSgNYozXx,"['broadway', 'hollywood', 'show tunes']",54,34842
45,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,"['british invasion', 'classic rock', 'rock']",78,12233730
46,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",73,6479793
47,spotify:artist:6mdiAmATAx73kdxrNrnlao,"['hard rock', 'metal', 'nwobhm', 'rock']",74,7775029
48,spotify:artist:1cHFz6lrt7KAsBV8j2Ny1g,"['blues', 'blues rock']",56,354683
49,spotify:artist:1cHFz6lrt7KAsBV8j2Ny1g,"['blues', 'blues rock']",56,354683
50,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",67,1934319
51,spotify:artist:0IMlCgkOv8meUbMYENZ1zq,"['irish fiddle', 'jig and reel']",11,281
52,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,"['alternative metal', 'comedy rock', 'comic', 'comic metal', 'parody', 'rock']",62,1483196
53,spotify:artist:4WpXr474F2fTdlgWL0034N,"['broadway', 'hollywood', 'show tunes']",43,8519
54,spotify:artist:6kACVPfCOnqzgfEF5ryl0x,"['arkansas country', 'outlaw country']",74,5523155
55,spotify:artist:1bs7HoMkSyQwcobCpE9KpN,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",66,1406823
56,spotify:artist:2qFr8w5sWUITRlzZ9kZotF,"['acid rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']",60,1375564
