,song_id,song_name,artist,artist_uri,album,realese_date,popularity
0,31EqF298ZkU9U7DdOds0Zx,Matador,Onda Sabanera,spotify:artist:25CQYerNOaucOLHuEuvC9P,Lluvia de Exitos/Cumbia Hasta las Manos,2007-11-10,44
1,7d4pdMym8ZBOgf1oVPTiPb,Matador - Remasterizado 2008,Los Fabulosos Cadillacs,spotify:artist:2FS22haX3FYbyOsUAkuYqZ,Vasos Vacíos,1993-06-18,60
2,3MPKkfraGF4YO4kis5PILy,El Campanero,Onda Sabanera,spotify:artist:25CQYerNOaucOLHuEuvC9P,Lluvia de Exitos/Cumbia Hasta las Manos,2007-11-10,46
3,64H5Dy5OI1R6cpoRn4ZM5t,Chacarera Del Sufrido,Raly Barrionuevo,spotify:artist:0mdD8YXAyJDJ2BHxIKF0Yf,El Sueño De Los Viajeros,2015-08-14,43
4,42e4yW4Xu2e8LdHQK6CnwG,Cacique Yatel,Rubén Patagonia,spotify:artist:4oha1qZP28nRUeG6IASeV0,La Historia - 2da Parte,2006-01-01,30
5,7FxhDl2TtdtWa7P490QGTS,Chacarera Del Rancho,Los Nocheros,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,Signos,1998-01-01,50
6,0aj6FKx25PL3hbhoUQzHNL,El Humahuaqueño / Carnavalito Quebradeño,Los Nocheros,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,Noche Amiga Mía,2004-01-01,37
7,6bMdAHzPO0ZtXsbTximfpc,El Choclo,Juan D'Arienzo,spotify:artist:46beGPwcX2QEZcmuvrMqp4,Serie De Oro: Juan D'Arienzo,2003-01-01,18
8,6B11DcP8lV8vq720QEfC9B,La Yumba - Instrumental,Osvaldo Pugliese,spotify:artist:2HO9rAU2R7CRnmhx0ytN41,Ausencia,1995-01-01,35
9,2joB3G4b527szRVC6L5VYL,La cumparsita,Juan D'Arienzo,spotify:artist:46beGPwcX2QEZcmuvrMqp4,Orquesta Juan D' Arienzo - La cumparsita,1988-06-12,46
10,0yPZHbdIEaotNZk99L0UIA,Desde el alma,Juan D'Arienzo,spotify:artist:46beGPwcX2QEZcmuvrMqp4,Orquesta Juan D' Arienzo - La cumparsita,1988-06-12,33
